%
% Comments go after a '%' sign.
%
%
% Relation: Dreams
%
%
% Attributes: 12     Instances: 16800
%
%

@relation Dreams

@attribute '0' numeric
@attribute 'Gender' numeric
@attribute 'Male' numeric
@attribute 'Animal' numeric
@attribute 'Friends' numeric
@attribute 'Family' numeric
@attribute 'Dead&Imaginary' numeric
@attribute 'Aggression/Friendliness' numeric
@attribute 'A/CIndex' numeric
@attribute 'F/CIndex' numeric
@attribute 'S/CIndex' numeric
@attribute 'NegativeEmotions' numeric

@data
13389,0.0,0.8,0.0,0.142857143,0.214285714,0.0,0.0,0.0,0.012987013,0.03571428575,1.0
6619,1.0,0.333333333,0.08,0.043478261,0.304347826,0.0,0.5,0.008,0.018181818181818184,0.015,0.666666667
3800,1.0,0.6,0.0,0.166666667,0.166666667,0.0,0.5,0.0166666667,0.007575757545454545,0.0,0.666666667
11072,1.0,1.0,0.25,0.166666667,0.166666667,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
9857,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
14522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10371,1.0,0.75,0.0,0.0,0.142857143,0.0,1.0,0.042857142900000006,0.0,0.0,0.0
15603,1.0,0.75,0.0,0.25,0.083333333,0.0,0.333333333,0.033333333300000004,0.07575757572727274,0.010416666625,0.0
14100,0.0,0.571428571,0.0625,0.2,0.2,0.0,0.75,0.07500000000000001,0.011363636363636364,0.046875,1.0
1983,1.0,0.666666667,0.1,0.111111111,0.111111111,0.0,0.428571429,0.08000000000000002,0.08181818181818182,0.0625,1.0
16895,1.0,1.0,0.0,0.0,0.4,0.0,1.0,0.08000000000000002,0.0,0.0,0.0
15664,1.0,0.428571429,0.0,0.1,0.2,0.0,0.0,0.005000000000000001,0.0,0.0,1.0
6769,1.0,0.857142857,0.0,0.153846154,0.076923077,0.0,0.5,0.030769230800000005,0.048951048909090904,0.009615384625,1.0
5999,1.0,0.666666667,0.083333333,0.090909091,0.363636364,0.0,0.0,0.0083333333,0.0,0.0,0.0
5635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9976,1.0,0.6,0.0,0.0,0.222222222,0.0,1.0,0.022222222200000002,0.010101010090909092,0.013888888875,0.0
657,1.0,0.5,0.0,0.0,0.2,0.0,0.4,0.06,0.07272727272727274,0.05,0.5
18393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0
751,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.1,0.045454545454545456,0.0625,1.0
2081,1.0,0.25,0.0,0.142857143,0.142857143,0.0,0.8,0.0714285714,0.05194805190909091,0.071428571375,1.0
19553,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.125,0.0
9405,1.0,0.5,0.0,0.0,0.2,0.0,1.0,0.06,0.0,0.0,1.0
14415,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,1.0
18157,0.0,0.666666667,0.0,0.142857143,0.285714286,0.0,0.333333333,0.0142857143,0.038961039,0.017857142875,0.0
20331,0.0,0.333333333,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10895,1.0,0.5,0.076923077,0.083333333,0.083333333,0.0,0.888888889,0.12307692310000001,0.020979021,0.009615384625,1.0
